,source,edge,target
3550,kirin,can do,things at high speed
3551,movidius,bring,ai applications to devices
3552,kirin,can do,things
3553,apple,acquiring,ai startups
3554,mark zuckerberg,worked with,two ais called among things
3555,mark zuckerberg,worked with,two ais called
3556,kirin,can do,things like face recognition object recognition image segmentation at high speed
3557,kirin,can do,things like face recognition object recognition image segmentation at speed
3558,apple,has,has busy
3559,apple,acquiring,ai startups in years
3560,kirin,can do,things like face recognition object recognition image segmentation
3561,movidius,bring,ai applications to devices with deficient performance
3562,mark zuckerberg,ended,co.
3563,movidius,bring,ai applications
3564,intel,has on,has shopping spree
3565,movidius,bring,ai applications to devices with performance
3566,nvidia s graphics processors,are beall for,machine learning
3567,mark zuckerberg,worked,co.
3568,mark zuckerberg,ended,project
3569,apple,acquiring,ai startups in recent years
3570,mark zuckerberg,worked on,negotiation platform
3571,one,use,custom loss function
3572,one,use custom loss function in,his neural network
3573,one,use custom loss function in,his network
3574,alan turing,was able to,successfully german enigma machine
3575,alan turing,was able to,enigma machine
3576,alan turing,was,able
3577,alan turing,was able to,hackthe german enigma machine
3578,alan turing,was able to,successfully hackthe enigma machine
3579,alan turing,was able to,successfully enigma machine
3580,alan turing,was able to,german enigma machine
3581,alan turing,was able to,successfully hackthe german enigma machine
3582,cryptography,is,science
3583,cryptography,enables,blockchain
3584,alan turing,was able to,hackthe enigma machine
3585,4is,great overview of,some pitfalls
3586,4is,overview of,some pitfalls
3587,4is,great overview of,some of pitfalls
3588,4is,overview of,some
3589,4is,great overview of,some
3590,4is,overview of,some of pitfalls
3591,dai,took,time
3592,dai,run,my laptop
3593,h2o,can,can also great resource
3594,dai,took,long time
3595,h2o,can,can great resource for you
3596,h2o,can,can great resource
3597,h2o,can,can also resource
3598,h2o,learn,data science
3599,h2o,can,can also resource for you
3600,mlwave.com,is,resource
3601,h2o,can,can also great resource for you
3602,mlwave.com,learn,machine learning concepts
3603,h2o,be,great
3604,h2o,can,can resource for you
3605,mlwave.com,is,great
3606,mlwave.com,is,great resource
3607,h2o,can,can resource
3608,us,deploying,autonomous vehicles
3609,us,deploying vehicles in,turbulent combat areas in large numbers
3610,china,support for,ai weapons ban
3611,us,deploying vehicles in,combat areas in large numbers
3612,us,deploying vehicles in,combat areas
3613,us,deploying vehicles in,combat areas in numbers
3614,us,deploying,vehicles
3615,us,deploying vehicles in,turbulent combat areas in numbers
3616,us,deploying vehicles in,turbulent combat areas
3617,ben weber,is,principal data scientist
3618,ben weber,is,data scientist at zynga
3619,ben weber,is,data scientist
3620,one,is,hierarchical
3621,sklearn lr,had,rmse of around 1400
3622,sklearn lr,had,rmse of around 1400
3623,sklearn lr,had,pymc3 models
3624,sklearn lr,had,rmse
3625,hpo,is technique,used
3626,8,are in,tier1
3627,1,is value of,bias unit
3628,1,is,value
3629,apache arrow,is,crosslanguage development platform for data
3630,apache arrow,is,integrated
3631,apache arrow,is,crosslanguage development platform for inmemory data
3632,apache arrow,takes,advantage of buffer
3633,apache arrow,takes,advantage
3634,apache arrow,is with,apache spark apache arrow
3635,apache arrow,takes,advantage of columnar buffer
3636,apache arrow,is,crosslanguage development platform
3637,apache arrow,converting,pandas
3638,apache arrow,reduce,io
3639,apache arrow,is with,pandas local file system
3640,apple,launched,face recognition system
3641,0.4,look,99.6
3642,reference b. wang,dudek,fast selftuning background subtraction algorithm on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3643,reference b. wang,dudek,selftuning background subtraction algorithm in proc of workshop
3644,reference b. wang,dudek,selftuning background subtraction algorithm in proc
3645,reference b. wang,dudek,fast selftuning background subtraction algorithm in proc of workshop on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3646,reference b. wang,dudek,fast selftuning background subtraction algorithm in proc
3647,reference b. wang,dudek,selftuning background subtraction algorithm on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3648,reference b. wang,dudek,fast selftuning background subtraction algorithm
3649,reference b. wang,dudek,fast selftuning background subtraction algorithm in proc on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3650,reference b. wang,dudek,selftuning background subtraction algorithm in proc on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3651,reference b. wang,dudek,selftuning background subtraction algorithm
3652,reference b. wang,dudek,selftuning background subtraction algorithm in proc of ieee workshop
3653,reference b. wang,dudek,fast selftuning background subtraction algorithm in proc of ieee workshop on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3654,reference b. wang,dudek,selftuning background subtraction algorithm in proc of workshop on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3655,reference b. wang,dudek,p.
3656,reference b. wang,dudek,fast selftuning background subtraction algorithm in proc of workshop
3657,reference b. wang,dudek,selftuning background subtraction algorithm in proc of ieee workshop on change detection 2014 docs.opencv.orghttps docs.opencv.org3.4d9dcdclasscv11saliency11saliency.html machine
3658,reference b. wang,dudek,fast selftuning background subtraction algorithm in proc of ieee workshop
3659,harvard s clean energy project,is,example of research pushed to edge of a.i
3660,harvard s clean energy project,is,example of research pushed to bleeding edge of a.i
3661,harvard s clean energy project,is,example pushed to edge
3662,harvard s clean energy project,is,example of research pushed to bleeding edge
3663,harvard s clean energy project,is,example
3664,harvard s clean energy project,is example of,research
3665,harvard s clean energy project,is,example pushed to edge of a.i
3666,harvard s clean energy project,is,example of research pushed to edge
3667,harvard s clean energy project,is,example pushed
3668,harvard s clean energy project,is,example of research pushed
3669,harvard s clean energy project,is,example pushed to bleeding edge
3670,harvard s clean energy project,is,example pushed to bleeding edge of a.i
3671,knn,is,lazy
3672,one,use,ab testing
3673,one,might,in cases might able
3674,one,might,might able
3675,ps,is,is prepared with larger mind map
3676,ps,is,is prepared
3677,ps,is,is prepared with mind map
3678,numfocus,is home of,many popular data science open source projects
3679,thousands,are distributed under,apache license
3680,thousands,millions of,users
3681,thousands,are,distributed
3682,numfocus,is home of,popular data science open source projects
3683,parameters,are,hence needed
3684,parameters,are needed,measure
3685,parameters,are,needed
3686,parameters,hence are needed,measure
3687,s,been,lot
3688,12 percent,is in,our research
3689,s,instead look,data
3690,s,look,data
3691,frameworks,perform,machine learning operations
3692,frameworks,perform machine learning operations for,us
3693,khan academy,wrote about,their experiences switching
3694,khan academy,wrote about,their experiences switching from python ecosystem to pythonkotlin one engineering.khanacademy.org khan
3695,khan academy,wrote about,their experiences
3696,khan academy,wrote about,their experiences switching from python ecosystem
3697,khan academy,wrote about,their experiences switching from python ecosystem to pythonkotlin one engineering.khanacademy.org khan
3698,luigi,looked in,mind
3699,knn,gives results on,your dataset try
3700,knn,gives results on,your dataset
3701,knn,gives,results
3702,knn,gives,good results
3703,happy dockeringi,write about,data science
3704,latlong,has,has imported from separate csv made
3705,1,is,where id number
3706,latlong,has,has imported
3707,latlong,has,has imported from separate csv
3708,latlong,has,has imported from csv made
3709,1,is,id number
3710,latlong,has,has imported from csv
3711,malignant.this,is,widely used in wide variety especially machine learning
3712,malignant.this,is used in,variety of data science fields
3713,malignant.this,is used in,variety
3714,malignant.this,is,used in wide variety of data science fields machine learning
3715,malignant.this,is,used especially machine learning
3716,malignant.this,is,widely used machine learning
3717,malignant.this,is,used machine learning
3718,malignant.this,is,used in wide variety machine learning
3719,malignant.this,is,widely used especially machine learning
3720,malignant.this,is widely used in,wide variety of data science fields
3721,malignant.this,is,widely used in wide variety machine learning
3722,malignant.this,is,used in variety of data science fields especially machine learning
3723,malignant.this,is,widely used
3724,malignant.this,is,widely used in variety of data science fields machine learning
3725,malignant.this,is,widely used in variety of data science fields especially machine learning
3726,malignant.this,is used in,wide variety
3727,malignant.this,is,widely used in variety especially machine learning
3728,malignant.this,is,used in variety of data science fields machine learning
3729,malignant.this,is used in,wide variety of data science fields
3730,malignant.this,is,used in variety especially machine learning
3731,malignant.this,is,used in variety machine learning
3732,malignant.this,is widely used in,wide variety
3733,malignant.this,is widely used in,variety
3734,malignant.this,is widely used in,variety of data science fields
3735,malignant.this,is,used
3736,malignant.this,is,widely used in variety machine learning
3737,malignant.this,is,used in wide variety especially machine learning
3738,malignant.this,is,widely used in wide variety of data science fields machine learning
3739,validity,is,premised
3740,validity,is premised on,assumption
3741,adam,is,stochastic
3742,linkedin,is,platform
3743,linkedin,is just platform for,job searching
3744,linkedin,is platform for,job searching
3745,linkedin,is just platform for,job
3746,linkedin,is platform for,job
3747,linkedin,is,just platform
3748,several months,applying language processing nlp techniques to,corpus of news stories
3749,several months,applying language processing nlp techniques to,large corpus of news stories
3750,several months,applying,language processing nlp techniques
3751,several months,applying language processing nlp techniques to,large corpus
3752,several months,applying,natural language processing nlp techniques
3753,several months,applying language processing nlp techniques to,corpus
3754,five,lost,two matches
3755,1 gigabyte,is data in,our zettabyte era
3756,1 gigabyte,is big data in,our zettabyte era
3757,30,phd in,maths
3758,1 gigabyte,is,data
3759,1 gigabyte,is,big data
3760,gartner s,report on,magic quadrant mq
3761,gartner s,report on,quadrant mq
3762,jeremy howard,referred,to
3763,catdict,is dictionary with,categorical columns
3764,catdict,returned,dictionary with columns
3765,catdict,is dictionary with,categorical columns as keys
3766,catdict,returned,dictionary with categorical columns as keys
3767,catdict,returned,dictionary with categorical columns
3768,catdict,is dictionary with,columns as keys
3769,catdict,is,dictionary
3770,catdict,returned,dictionary
3771,catdict,is dictionary with,columns
3772,catdict,returned,dictionary with columns as keys
3773,quandl,is,way
3774,quandl,is,easiest way
3775,bias,affects,variance
3776,one,load at_time,year
3777,one,s,dataset one
3778,one,separated load at_time,year
3779,rstanto,generate,samples
3780,rstanto,generate samples from,posterior distribution of parameters
3781,rstanto,generate samples from,distribution of parameters
3782,rstanto,generate samples from,distribution
3783,rstanto,generate samples from,posterior distribution
3784,keras,also provides,easy interface
3785,keras,also provides,easy interface for data augmentation
3786,keras,has,many with their imagenet weights available
3787,keras,has,many
3788,keras,provides,interface
3789,keras,provides,interface for data augmentation
3790,keras,has,many with their imagenet weights available in its library
3791,keras,provides,easy interface for data augmentation
3792,keras,provides,easy interface
3793,keras,also provides,interface for data augmentation
3794,keras,also provides,interface
3795,keras,has,many with their imagenet weights
3796,cnn,is,such
3797,cnn,are artificial neural networks,used primarily
3798,cnn,are artificial neural networks,used
3799,cnn,are deep artificial neural networks,used
3800,cnn,are deep artificial networks,used primarily
3801,cnn,is,fascinating
3802,cnn,are artificial networks,used primarily
3803,cnn,are artificial networks,used
3804,cnn,are deep artificial networks,used
3805,cnn,are deep artificial neural networks,used primarily
3806,kaggle,is,online community
3807,kaggle,is,community
3808,kaggle,is online community for,data science
3809,kaggle,is,online
3810,kaggle,is community for,data science
3811,deepqa,is,called
3812,deepqa,is called,mind acquired by google in 2014
3813,deepqa,is called,deep mind acquired by google in 2014
3814,facebook,uses,face recognition
3815,deepqa,is called,deep mind acquired by google in 2014
3816,deepqa,is called,mind acquired
3817,deepqa,is called,deep mind acquired
3818,deepqa,is called,deep mind
3819,deepqa,is called,mind acquired by google in 2014
3820,deepqa,is called,mind
3821,deepqa,called,company
3822,deepqa,is called,mind acquired by google
3823,deepqa,is called,mind acquired in 2014
3824,deepqa,is called,deep mind acquired in 2014
3825,deepqa,is called,deep mind acquired by google
3826,statistician,can accomplish,much more than three data scientists put together
3827,statistician,can accomplish,more than three unicorn data scientists put together
3828,statistician,can accomplish,more
3829,statistician,can accomplish,much more than three data scientists
3830,statistician,can accomplish,more than three unicorn data scientists put
3831,statistician,can accomplish,more than three data scientists
3832,time data,is,considered
3833,statistician,can accomplish,more than three data scientists put together
3834,statistician,can accomplish,much more than three unicorn data scientists put together
3835,statistician,can accomplish,much more than three unicorn data scientists
3836,statistician,can accomplish,more than three unicorn data scientists
3837,statistician,can accomplish,much more than three unicorn data scientists put
3838,statistician,can accomplish,more than three data scientists put
3839,statistician,can accomplish,much more than three data scientists put
3840,ml,has established,itself
3841,statistician,can accomplish,much more
3842,singapore,affected,factors maturity town proximity flat cbd shopping malls
3843,singapore,largely affected,key factors maturity town proximity cbd shopping malls
3844,singapore,affected,factors maturity town proximity flat cbd well facilities shopping malls
3845,singapore,affected,key factors maturity town proximity flat cbd facilities shopping malls
3846,singapore,largely affected,factors maturity town proximity cbd shopping malls
3847,singapore,largely affected,key factors maturity town proximity flat cbd shopping malls
3848,singapore,affected,factors maturity town proximity cbd facilities shopping malls
3849,mrt lrt stations,raffles,place mrt
3850,singapore,affected,factors maturity town proximity cbd well facilities shopping malls
3851,singapore,affected,key factors maturity town proximity cbd well facilities shopping malls
3852,singapore,largely affected,key factors maturity town proximity cbd facilities shopping malls
3853,singapore,largely affected,factors maturity town proximity cbd well facilities shopping malls
3854,singapore,affected,factors maturity town proximity flat cbd facilities shopping malls
3855,singapore,affected,key factors maturity town proximity flat cbd well facilities shopping malls
3856,storey range,concluded,storey 4room hdb costs 3749
3857,singapore,largely affected,factors maturity town proximity flat cbd shopping malls
3858,singapore,largely affected,factors maturity town proximity flat cbd well facilities shopping malls
3859,singapore,largely affected,factors maturity town proximity flat cbd facilities shopping malls
3860,singapore,largely affected,key factors maturity town proximity flat cbd well facilities shopping malls
3861,singapore,largely anchored,sales comparison approach i.e
3862,storey range,concluded,additional storey 4room hdb costs 3749
3863,singapore,affected,factors maturity town proximity cbd shopping malls
3864,mrt lrt stations,raffles,place mrt extracted
3865,singapore,anchored,sales comparison approach i.e
3866,singapore,affected,key factors maturity town proximity cbd shopping malls
3867,singapore,largely affected,key factors maturity town proximity flat cbd facilities shopping malls
3868,singapore,affected,key factors maturity town proximity flat cbd shopping malls
3869,singapore,largely affected,factors maturity town proximity cbd facilities shopping malls
3870,singapore,largely affected,key factors maturity town proximity cbd well facilities shopping malls
3871,singapore,affected,key factors maturity town proximity cbd facilities shopping malls
3872,silicon valley,was for,first time
3873,silicon valley,was sitting on,huge amounts of data
3874,silicon valley,was enough for,first time
3875,silicon valley,was sitting on,huge amounts
3876,silicon valley,was sitting on,amounts of data
3877,silicon valley,was sitting on,amounts
3878,silicon valley,was for,time
3879,silicon valley,was enough for,time
3880,entity1,relationship,entity2
3881,subject,predicate,object
3882,runson,type,functionalproperty
3883,runson,range,engineering storage and computing
3884,api,domain,application
3885,api,range,string
3886,access,domain,data availability
3887,access,range,string
3888,accessibility,domain,collection
3889,accessibility,range,string
3890,accuracy,domain,regression metrics
3891,accuracy,range,float
3892,advantages,domain,system and processes architecturepatterns
3893,advantages,range,string
3894,batch size,domain,training
3895,batch size,range,integer
3896,channel connectivity pattern between layers,domain,neural networks
3897,channel connectivity pattern between layers,range,string
3898,communication protocol,range,string
3899,completeness,domain,collection
3900,completeness,range,string
3901,complexity level,domain,problem statement
3902,complexity level,range,string
3903,consistency,domain,collection
3904,consistency,range,string
3905,constraints,domain,activity
3906,constraints,range,string
3907,consumer,domain,service
3908,consumer,range,string
3909,data organization,domain,governance
3910,data organization,range,string
3911,degree,domain,robustness
3912,degree,range,string
3913,description,domain,task
3914,description,range,string
3915,determinism,domain,solution scenarios
3916,determinism,range,string
3917,dimensionality,domain,collection
3918,dimensionality,range,string
3919,disadvantages,domain,system and processes architecturepatterns
3920,disadvantages,range,string
3921,effect,domain,activity
3922,effect,range,string
3923,environment,domain,setup
3924,environment,range,string
3925,epochs,domain,training
3926,epochs,range,integer
3927,error rate,domain,clustering metrics
3928,error rate,range,integer
3929,f1 score,domain,classification metrics
3930,f1 score,range,float
3931,features,range,string
3932,filter size per layer,domain,neural networks
3933,filter size per layer,range,integer
3934,format,domain,processing
3935,format,range,string
3936,frequency,domain,collection
3937,frequency,range,string
3938,goal,domain,setup
3939,goal,range,string
3940,instance provider,domain,service
3941,instance provider,range,string
3942,istrue,domain,sensing
3943,istrue,range,boolean
3944,labels,domain,training
3945,labels,range,string
3946,language,domain,setup
3947,language,range,string
3948,latency,domain,performance
3949,latency,range,integer
3950,learning rate,domain,training
3951,learning rate,range,integer
3952,library,domain,setup
3953,library,range,string
3954,logics,domain,application
3955,logics,range,string
3956,mean absolute error,domain,regression metrics
3957,mean absolute error,range,float
3958,mean squared error,domain,regression metrics
3959,mean squared error,range,float
3960,model visual,domain,system and processes architecturepatterns
3961,model visual,range,long
3962,name,domain,task
3963,name,range,string
3964,node,domain,service
3965,node,range,string
3966,node provider,domain,service
3967,node provider,range,string
3968,number of channels per layer,domain,neural networks
3969,number of channels per layer,range,integer
3970,number of convolutional layers,domain,neural networks
3971,number of convolutional layers,range,integer
3972,number of layers,domain,neural networks
3973,number of layers,range,integer
3974,number of neurons per layer,domain,neural networks
3975,number of neurons per layer,range,integer
3976,number of pooling layers,domain,neural networks
3977,number of pooling layers,range,integer
3978,ordering of pooling,domain,neural networks
3979,ordering of pooling,range,string
3980,output type,domain,deployment
3981,output type,range,string
3982,precision,domain,classification metrics
3983,precision,range,float
3984,provider,domain,service
3985,provider,range,string
3986,quantity,domain,data
3987,quantity,range,string
3988,r2 score,domain,regression metrics
3989,r2 score,range,float
3990,recall,domain,classification metrics
3991,recall,range,float
3992,root mean squared error,domain,regression metrics
3993,root mean squared error,range,float
3994,rules,domain,application
3995,rules,range,string
3996,size of pooling regions,domain,neural networks
3997,size of pooling regions,range,integer
3998,stride per layer,domain,neural networks
3999,stride per layer,range,integer
4000,structure,domain,training
4001,structure,range,string
4002,task,domain,setup
4003,task,range,string
4004,tool,domain,processing
4005,tool,range,string
4006,triggers,domain,activity
4007,triggers,range,string
4008,type,domain,training
4009,type,range,string
4010,type of activation function,domain,neural networks
4011,type of activation function,range,string
4012,type of optimization function,domain,neural networks
4013,type of optimization function,range,string
4014,type of pooling operator per layer,domain,neural networks
4015,type of pooling operator per layer,range,string
4016,user interface,domain,application
4017,user interface,range,string
4018,velocity,domain,collection
4019,velocity,range,string
4020,veracity,domain,collection
4021,veracity,range,string
4022,volume,domain,collection
4023,volume,range,integer
4024,workflow,domain,activity
4025,workflow,range,string
4026,access control,subclassof,design patterns
4027,access management,subclassof,governance
4028,act,subclassof,control
4029,acting,subclassof,interaction
4030,activation,subclassof,neuralnetwork creation
4031,active learning,subclassof,learning algorithm
4032,activity,subclassof,business domain
4033,aggregated data storage,subclassof,data storage
4034,analytic,subclassof,design patterns
4035,analytics,subclassof,data
4036,analytics design,subclassof,system and processes architecturepatterns
4037,application,subclassof,business domain
4038,asset management,subclassof,control
4039,attention,subclassof,neuralnetwork creation
4040,authentication,subclassof,identity management
4041,authorization,subclassof,identity management
4042,autoencoder,subclassof,analytic
4043,backprop,subclassof,neuralnetwork creation
4044,blackboard,subclassof,mud to structure
4045,broker,subclassof,distributed systems
4046,cache,subclassof,communication
4047,catalogue,subclassof,business domain
4048,central data storage,subclassof,data storage
4049,centralized data analytics,subclassof,analytics design
4050,classification metrics,subclassof,evaluation metrics
4051,classification metrics,disjointwith,regression metrics
4052,clientside model deployment,subclassof,model deployment
4053,client dispatcher server,subclassof,communication
4054,cloud,subclassof,central data storage
4055,cloud analytics,subclassof,centralized data analytics
4056,clustering metrics,subclassof,evaluation metrics
4057,collection,subclassof,data
4058,command processor,subclassof,management
4059,communication,subclassof,design patterns
4060,communication structure,subclassof,organization
4061,component,subclassof,business domain
4062,confusion matrix,subclassof,classification metrics
4063,continuous learning,subclassof,learning algorithm
4064,control,subclassof,system and processes architecturepatterns
4065,convolution,subclassof,neuralnetwork creation
4066,convolutional layer,subclassof,convolution
4067,dashboard,subclassof,model-view-controller
4068,data availability,subclassof,data and process management
4069,data cleaning,subclassof,processing
4070,data enhancement,subclassof,processing
4071,data flow engine,subclassof,data processing
4072,data formatting,subclassof,processing
4073,data management,subclassof,data
4074,data mapping,subclassof,processing
4075,data pipeline,subclassof,engineering storage and computing
4076,data pipeline batch,subclassof,data pipeline
4077,data pipeline online,subclassof,data pipeline
4078,data pipeline stream,subclassof,data pipeline
4079,data policy,subclassof,governance
4080,data principles,subclassof,data management
4081,data processes,subclassof,data management
4082,data processing,subclassof,system and processes architecturepatterns
4083,data protection,subclassof,governance
4084,data quality,subclassof,data management
4085,data redundancy,subclassof,data and process management
4086,data requirements,subclassof,data management
4087,data risk,subclassof,data management
4088,data sharing,subclassof,system and processes architecturepatterns
4089,data standards,subclassof,data management
4090,data storage,subclassof,system and processes architecturepatterns
4091,data strategy,subclassof,governance
4092,data transformation,subclassof,processing
4093,data value,subclassof,governance
4094,data visualization,subclassof,system and processes architecturepatterns
4095,data and process management,subclassof,business domain
4096,data driven approach,subclassof,modelling technique
4097,databus,subclassof,data sharing
4098,dataflow,subclassof,design patterns
4099,decentral data storage,subclassof,data storage
4100,decentralized data analytics,subclassof,analytics design
4101,decision structure,subclassof,organization
4102,decoder,subclassof,neuralnetwork creation
4103,deep learning,subclassof,model
4104,deep learning,disjointwith,machine learning
4105,deep reinforcement learning,subclassof,learning algorithm
4106,deployment,subclassof,analytics
4107,directed acyclic graph,subclassof,dataflow
4108,distributed data storage,subclassof,data storage
4109,distributed systems,subclassof,system decomposition
4110,edge,subclassof,engineering storage and computing
4111,edge analytics,subclassof,decentralized data analytics
4112,encoder,subclassof,neuralnetwork creation
4113,engineering storage and computing,subclassof,data
4114,ensemble,subclassof,machine learning
4115,enterprise,subclassof,engineering storage and computing
4116,entity abstraction,subclassof,control
4117,environment interaction,subclassof,interaction
4118,evaluation metrics,subclassof,validation
4119,executor,subclassof,control
4120,explainability,subclassof,setup
4121,feature extraction,subclassof,collection
4122,feature learning,subclassof,learning algorithm
4123,feature map,subclassof,data processing
4124,feature store,subclassof,data processing
4125,feature tuning,subclassof,training
4126,federated learning,subclassof,learning algorithm
4127,federated learning pattern,subclassof,decentralized data analytics
4128,few-shot learning,subclassof,learning algorithm
4129,fog,subclassof,engineering storage and computing
4130,forwarder receiver,subclassof,communication
4131,fragmented data analytics,subclassof,analytics design
4132,fragmented data storage,subclassof,data storage
4133,fully connected layer,subclassof,neuralnetwork creation
4134,governance,subclassof,data
4135,hardware,subclassof,platform
4136,heterogeneity,subclassof,data and process management
4137,human dependency resolution,subclassof,self-determination
4138,human machine interaction,subclassof,interaction
4139,hybrid approach,subclassof,modelling technique
4140,hyperparameter setting,subclassof,setup
4141,identity,subclassof,identity management
4142,identity management,subclassof,data
4143,index,subclassof,access control
4144,inference,subclassof,design patterns
4145,inference batch pipeline,subclassof,inference
4146,inference hybrid pipeline,subclassof,inference
4147,inference streaming pipeline,subclassof,inference
4148,information and knowledge processing,subclassof,data and process management
4149,interaction,subclassof,business domain
4150,interactive systems,subclassof,system decomposition
4151,interfaces,subclassof,interaction
4152,kappa,subclassof,data pipeline stream
4153,lambda,subclassof,data pipeline
4154,layers,subclassof,mud to structure
4155,learning algorithm,subclassof,training
4156,machine learning,subclassof,model
4157,machine to machine interaction,subclassof,interaction
4158,management,subclassof,design patterns
4159,mapreduce,subclassof,parallel computation
4160,master slave,subclassof,organization of work
4161,matrix,subclassof,data visualization
4162,message queue,subclassof,communication
4163,metadata,subclassof,data management
4164,microkernel,subclassof,distributed systems
4165,model,subclassof,analytics
4166,model-view-controller,subclassof,interactive systems
4167,model deployment,subclassof,design patterns
4168,model interpretation,subclassof,explainability
4169,modelling,subclassof,control
4170,modelling technique,subclassof,setup
4171,monitoring and diagnostics,subclassof,operation
4172,mud to structure,subclassof,system decomposition
4173,neuralnetwork creation,subclassof,system and processes architecturepatterns
4174,neural networks,subclassof,deep learning
4175,no-shot learning,subclassof,learning algorithm
4176,normalization,subclassof,data processing
4177,olap,subclassof,data processing
4178,oltp,subclassof,data processing
4179,operation,subclassof,system and processes architecturepatterns
4180,operation management,subclassof,operation
4181,operator,subclassof,distributed systems
4182,optimization,subclassof,operation
4183,optimizer,subclassof,neuralnetwork creation
4184,organization,subclassof,business domain
4185,organization of work,subclassof,design patterns
4186,output explanation,subclassof,explainability
4187,parallel computation,subclassof,design patterns
4188,performance,subclassof,interaction
4189,physical approach,subclassof,modelling technique
4190,pi,subclassof,central data storage
4191,pipes,subclassof,communication
4192,pipes and filters,subclassof,mud to structure
4193,platform,subclassof,engineering storage and computing
4194,pooling,subclassof,neuralnetwork creation
4195,presentation-abstraction-control,subclassof,interactive systems
4196,problem statement,subclassof,business domain
4197,process prediction,subclassof,data and process management
4198,processing,subclassof,data
4199,processing engine,subclassof,data processing
4200,product,subclassof,business domain
4201,prognostics,subclassof,operation
4202,proprietary data storage,subclassof,central data storage
4203,provisioning and deployment,subclassof,operation
4204,proxy,subclassof,access control
4205,publisher subscriber,subclassof,communication
4206,quality,subclassof,interaction
4207,realtime,subclassof,time
4208,realtime inference,subclassof,analytics design
4209,recurrent layer,subclassof,neuralnetwork creation
4210,regression metrics,subclassof,evaluation metrics
4211,reinforcement,subclassof,self-organization
4212,reinforcement learning,subclassof,learning algorithm
4213,resource handling,subclassof,design patterns
4214,responsibilities,subclassof,organization
4215,responsibilities,attributes,roles definition
4216,robustness,subclassof,self-organization
4217,roles,subclassof,governance
4218,roles definition,subclassof,organization
4219,roles definition,attributes,task
4220,scheduling,subclassof,self-organization
4221,scheduling,attributes,task
4222,self-determination,subclassof,business domain
4223,self-organization,subclassof,business domain
4224,self goal setting,subclassof,self-determination
4225,self governance definition,subclassof,self-determination
4226,self process definition,subclassof,self-determination
4227,self selection,subclassof,self-organization
4228,sense,subclassof,control
4229,sensing,subclassof,interaction
4230,serverside model deployment,subclassof,model deployment
4231,service,subclassof,business domain
4232,setup,subclassof,analytics
4233,shared memory,subclassof,data sharing
4234,software,subclassof,platform
4235,solution scenarios,subclassof,business domain
4236,statistical learning,subclassof,model
4237,structural decomposition,subclassof,design patterns
4238,supervised learning,subclassof,learning algorithm
4239,system decomposition,subclassof,system and processes architecturepatterns
4240,task,subclassof,organization
4241,task definition,subclassof,setup
4242,testing,subclassof,analytics
4243,time,subclassof,interaction
4244,tools,subclassof,data management
4245,training,subclassof,analytics
4246,transfer learning,subclassof,learning algorithm
4247,transfer learning pattern,subclassof,decentralized data analytics
4248,unsupervised learning,subclassof,learning algorithm
4249,validation,subclassof,analytics
4250,vector,subclassof,data processing
4251,view handler,subclassof,management
4252,whole part,subclassof,structural decomposition
4253,adaboost,type,ensemble
4254,adaboost,is_part_of,classification multilabel boost
4255,anomaly detection,type,task definition
4256,auto encoder,type,neural networks
4257,auto encoder,is_part_of,anomaly detection
4258,autoregressive model,type,neural networks
4259,centralized,type,system orientation
4260,classification binary,type,task definition
4261,classification binary imbalanced,type,task definition
4262,classification multiclass,type,task definition
4263,classification multiclass bagging,type,task definition
4264,classification multiclass boost,type,task definition
4265,classification multilabel,type,task definition
4266,classification multilabel bagging,type,task definition
4267,classification multilabel boost,type,task definition
4268,classification nonlinear,type,feed forward nn 
4269,clustering linear,type,task definition
4270,clustering nonlinear,type,task definition
4271,compression,type,task definition
4272,convolutional nn,type,supervised learning
4273,convolutional nn,is_part_of,data processing nonlinear
4274,cosine similarity,type,machine learning
4275,cosine similarity,is_part_of,similarity
4276,cryptography,type,data protection
4277,damageprevention,type,business domain
4278,data augmentation,type,task definition
4279,data consumer,type,roles
4280,data owner,type,roles
4281,data parsing,type,data transformation
4282,data processing linear,type,task definition
4283,data processing nonlinear,type,task definition
4284,data provider,type,roles
4285,data steward,type,roles
4286,decentralized,type,system orientation
4287,decision tree,type,supervised learning
4288,decision tree,is_part_of,classification multilabel
4289,deep boltzmann machine,type,supervised learning
4290,deep boltzmann machine,is_part_of,text representation extraction
4291,dimensionality reduction,type,task definition
4292,embeddings,type,machine learning
4293,embeddings,is_part_of,similarity
4294,euclidean distance,type,machine learning
4295,euclidean distance,is_part_of,similarity
4296,exploitation,type,task definition
4297,exploration,type,task definition
4298,feature engineering,type,data transformation
